Timestamp,Age Group,Occupation,Which laptop brand are you currently using?,What is your primary use for the laptop?,How satisfied are you with your current laptop performance?,Which feature matters most when buying a laptop?,Are you aware of laptop accessories that improve productivity?,Which accessories do you currently use ?,Which type of offer would encourage you to buy additional products?,What problems do you face with your current laptop?,How often does your laptop slow down while performing tasks?,"If you were to upgrade your laptop, which feature would you prefer to improve?",What RAM size would you prefer in your next laptop?,Which accessories did you buy along with your laptop?,Would you consider upgrading your laptop within the next 1–2 years?,Name,Which accessories would you consider buying with a new laptop?
10-03-2026 12:29,18–22,Student,Asus,Office Work,Neutral,Price,Yes,"Keyboard, Laptop Stand",Combo bundle (Laptop + Accessories),"Battery drains quickly, Slow performance",Rarely,Graphics performance,32 GB,"Laptop Bag, External Storage",Yes,User_0094,Laptop Stand
10-03-2026 09:41,18–22,Student,Asus,Studying,Satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag, Keyboard, External Hard Drive / SSD, Laptop Stand, USB Hub",Extended warranty,No major issues,Sometimes,Processor performance,64 GB,"Laptop Bag, Keyboard, External Storage",Yes,User_0095,"Wireless Mouse, External Storage, Laptop Stand"
10-03-2026 13:37,Above 40,Student,Dell,Studying,Satisfied,Processor,Yes,Laptop Bag,Combo bundle (Laptop + Accessories),"Battery drains quickly, Insufficient RAM",Sometimes,RAM capacity,32 GB,Mouse,Maybe,User_0096,"External Storage, Cooling Pad"
10-03-2026 21:16,Above 40,Working Professional,Dell,Office Work,Very satisfied,Storage,No,"Wireless Mouse, USB Hub",Combo bundle (Laptop + Accessories),Insufficient RAM,Sometimes,Battery life,16 GB,"Laptop Bag, Mouse",Yes,User_0097,"Laptop Bag, External Storage, Cooling Pad"
10-03-2026 10:48,18–22,Student,Lenovo,Programming,Satisfied,Storage,Yes,"Wireless Mouse, Laptop Bag, External Hard Drive / SSD",Free accessories,Slow performance,Rarely,Graphics performance,32 GB,"Laptop Bag, Keyboard, External Storage",Yes,User_0098,Wireless Mouse
10-03-2026 12:08,18–22,Student,Dell,Studying,Satisfied,Storage,Yes,"Wireless Mouse, Keyboard, USB Hub",Discount on accessories,"Battery drains quickly, No major issues",Rarely,Graphics performance,64 GB,"Laptop Bag, Mouse",Yes,User_0099,"Wireless Mouse, Laptop Bag"
10-03-2026 14:27,18–22,Student,Acer,Multimedia / Entertainment,Neutral,RAM,Yes,"Wireless Mouse, Keyboard",Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues, Slow performance",Very often,Processor performance,64 GB,"Mouse, Keyboard, External Storage",Yes,User_0100,"Laptop Bag, Laptop Stand"
10-03-2026 18:18,Above 40,Working Professional,Asus,Programming,Very satisfied,Processor,Yes,"Wireless Mouse, Keyboard",Combo bundle (Laptop + Accessories),"Overheating issues, No major issues, Slow performance",Never,Processor performance,32 GB,"Laptop Bag, Mouse",Yes,User_0101,"Wireless Mouse, Laptop Bag, Cooling Pad"
10-03-2026 20:34,Above 40,Working Professional,Lenovo,Office Work,Neutral,Storage,Yes,"Wireless Mouse, External Hard Drive / SSD, Cooling Pad",Free accessories,"Battery drains quickly, Overheating issues, Low storage space",Rarely,Processor performance,64 GB,"Laptop Bag, Mouse",Yes,User_0102,"Laptop Bag, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 09:56,Above 40,Working Professional,Lenovo,Studying,Neutral,Price,Yes,"Wireless Mouse, Laptop Bag, Laptop Stand, USB Hub",Extended warranty,Overheating issues,Sometimes,Battery life,16 GB,"Laptop Bag, Cooling Pad",Maybe,User_0103,"Wireless Mouse, Laptop Bag"
10-03-2026 11:42,23–30,Working Professional,HP,Office Work,Very satisfied,Processor,Yes,"Laptop Bag, Keyboard",Extended warranty,"No major issues, Slow performance",Sometimes,Storage capacity,64 GB,"Laptop Bag, Mouse, External Storage",No,User_0104,"Wireless Mouse, Laptop Bag, Laptop Stand"
10-03-2026 18:37,18–22,Student,Lenovo,Office Work,Satisfied,RAM,Yes,Wireless Mouse,Combo bundle (Laptop + Accessories),No major issues,Rarely,Storage capacity,32 GB,"Mouse, Keyboard, External Storage",Maybe,User_0105,"Wireless Mouse, Laptop Bag, External Storage"
10-03-2026 10:48,Above 40,Working Professional,HP,Studying,Satisfied,Graphics,Yes,"Wireless Mouse, External Hard Drive / SSD",Extended warranty,Slow performance,Sometimes,Processor performance,16 GB,Mouse,Yes,User_0106,"Laptop Bag, External Storage, Laptop Stand"
10-03-2026 19:46,23–30,Working Professional,HP,Office Work,Satisfied,Storage,Yes,"Wireless Mouse, Laptop Bag, Laptop Stand",Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues, No major issues, Insufficient RAM",Sometimes,Processor performance,64 GB,Mouse,No,User_0107,External Storage
10-03-2026 15:51,18–22,Student,Lenovo,Office Work,Satisfied,Storage,Yes,Wireless Mouse,Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues, No major issues, Slow performance",Never,Processor performance,32 GB,"Laptop Bag, Mouse, Cooling Pad",Yes,User_0108,"Laptop Bag, External Storage, Cooling Pad"
10-03-2026 13:30,18–22,Student,HP,Office Work,Very satisfied,Storage,Yes,"Wireless Mouse, External Hard Drive / SSD",Extended warranty,"Overheating issues, Slow performance",Sometimes,Processor performance,32 GB,"Laptop Bag, Keyboard, External Storage",Maybe,User_0109,Laptop Bag
10-03-2026 17:31,23–30,Working Professional,HP,Office Work,Satisfied,RAM,Yes,"Wireless Mouse, Laptop Bag, Keyboard, USB Hub",Combo bundle (Laptop + Accessories),"Low storage space, Insufficient RAM",Sometimes,Processor performance,32 GB,"Laptop Bag, Keyboard",No,User_0110,Wireless Mouse
10-03-2026 10:57,18–22,Student,Lenovo,Studying,Very satisfied,Processor,Yes,None,Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues, Insufficient RAM",Rarely,Battery life,32 GB,"Laptop Bag, Mouse, Keyboard, External Storage",No,User_0111,"Laptop Bag, External Storage"
10-03-2026 09:27,18–22,Student,HP,Studying,Very satisfied,Price,No,"Wireless Mouse, Laptop Bag, Keyboard",Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues, No major issues, Slow performance",Rarely,Storage capacity,8 GB,None,Maybe,User_0112,"Laptop Bag, External Storage, Cooling Pad"
10-03-2026 17:38,Above 40,Working Professional,Acer,Office Work,Very satisfied,RAM,Yes,"Wireless Mouse, Laptop Bag, Cooling Pad",Free accessories,"Battery drains quickly, Low storage space, Insufficient RAM",Sometimes,RAM capacity,32 GB,"Laptop Bag, External Storage",Maybe,User_0113,"Wireless Mouse, Laptop Bag"
10-03-2026 21:03,Above 40,Working Professional,HP,Office Work,Very satisfied,Processor,No,"Wireless Mouse, Laptop Bag, Keyboard",Combo bundle (Laptop + Accessories),Insufficient RAM,Rarely,Graphics performance,64 GB,"Laptop Bag, Mouse, External Storage",No,User_0114,"Wireless Mouse, Laptop Bag, External Storage, Laptop Stand"
10-03-2026 14:51,18–22,Student,Lenovo,Office Work,Satisfied,RAM,Yes,"Wireless Mouse, Laptop Bag, Keyboard, Laptop Stand",Combo bundle (Laptop + Accessories),"Overheating issues, Insufficient RAM",Sometimes,Processor performance,64 GB,"Laptop Bag, Mouse",Yes,User_0115,"Wireless Mouse, Cooling Pad"
10-03-2026 17:03,Above 40,Working Professional,HP,Studying,Neutral,Graphics,Yes,"Wireless Mouse, Laptop Bag",Extended warranty,Low storage space,Sometimes,Storage capacity,32 GB,"Laptop Bag, Keyboard, External Storage",Yes,User_0116,"Wireless Mouse, Laptop Bag, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 20:58,Above 40,Student,HP,Office Work,Satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag, USB Hub",Discount on accessories,"Battery drains quickly, No major issues, Low storage space",Never,Storage capacity,64 GB,Cooling Pad,Yes,User_0117,"Laptop Bag, Laptop Stand"
10-03-2026 16:54,Above 40,Business,HP,Office Work,Satisfied,Processor,Yes,"Wireless Mouse, Keyboard, External Hard Drive / SSD, Laptop Stand",Discount on accessories,Battery drains quickly,Sometimes,Processor performance,64 GB,"Laptop Bag, Mouse, Keyboard",Maybe,User_0118,"Laptop Bag, External Storage, Cooling Pad"
10-03-2026 19:31,18–22,Student,Lenovo,Office Work,Satisfied,Processor,Yes,Wireless Mouse,Combo bundle (Laptop + Accessories),Battery drains quickly,Sometimes,Processor performance,64 GB,Keyboard,Yes,User_0119,"Wireless Mouse, Laptop Bag, Laptop Stand"
10-03-2026 19:32,18–22,Student,Dell,Programming,Neutral,Processor,Yes,"Wireless Mouse, Laptop Bag, Cooling Pad",Extended warranty,"Battery drains quickly, Overheating issues, No major issues",Very often,Processor performance,64 GB,Mouse,Maybe,User_0120,"Wireless Mouse, Laptop Bag, Cooling Pad"
10-03-2026 12:26,Above 40,Working Professional,HP,Office Work,Very satisfied,Price,Yes,"Wireless Mouse, Laptop Bag, Keyboard",Combo bundle (Laptop + Accessories),"Battery drains quickly, No major issues, Low storage space",Very often,Processor performance,32 GB,Laptop Bag,No,User_0121,"Wireless Mouse, Laptop Bag"
10-03-2026 11:08,Above 40,Working Professional,Lenovo,Studying,Satisfied,Processor,Yes,"Wireless Mouse, USB Hub, Cooling Pad",Combo bundle (Laptop + Accessories),"Overheating issues, No major issues, Insufficient RAM",Rarely,RAM capacity,16 GB,"Mouse, Keyboard",Maybe,User_0122,Wireless Mouse
10-03-2026 17:29,18–22,Other,HP,Studying,Satisfied,Price,Yes,Laptop Bag,Free accessories,No major issues,Very often,Battery life,64 GB,External Storage,Yes,User_0123,"Wireless Mouse, Laptop Stand, Cooling Pad"
10-03-2026 16:40,18–22,Student,Lenovo,Programming,Neutral,Price,Yes,"Laptop Bag, Keyboard, External Hard Drive / SSD, USB Hub",Combo bundle (Laptop + Accessories),No major issues,Sometimes,RAM capacity,16 GB,Mouse,Yes,User_0124,"Wireless Mouse, Laptop Stand"
10-03-2026 16:50,Above 40,Student,Asus,Studying,Neutral,Processor,Yes,"Keyboard, Laptop Stand, USB Hub",Extended warranty,No major issues,Rarely,Battery life,32 GB,"Laptop Bag, Cooling Pad",Maybe,User_0125,External Storage
10-03-2026 14:26,18–22,Student,Dell,Office Work,Satisfied,Processor,No,"Wireless Mouse, Keyboard, External Hard Drive / SSD, Laptop Stand",Combo bundle (Laptop + Accessories),Battery drains quickly,Rarely,Processor performance,8 GB,"Laptop Bag, Mouse",Yes,User_0126,"Laptop Bag, Cooling Pad"
10-03-2026 13:38,18–22,Student,HP,Office Work,Unsatisfied,Storage,No,"Wireless Mouse, Laptop Bag, Keyboard, USB Hub",Discount on accessories,"Overheating issues, No major issues, Slow performance",Sometimes,Processor performance,32 GB,"Laptop Bag, Mouse",Yes,User_0127,"Laptop Bag, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 13:42,18–22,Student,Dell,Office Work,Neutral,Price,Yes,Laptop Bag,Extended warranty,"No major issues, Insufficient RAM",Sometimes,Processor performance,16 GB,"Laptop Bag, Keyboard",Yes,User_0128,"Wireless Mouse, Laptop Bag, Laptop Stand, Cooling Pad"
10-03-2026 21:50,Above 40,Student,HP,Studying,Neutral,Processor,Yes,"Wireless Mouse, Laptop Bag, Keyboard, Laptop Stand, Cooling Pad",Combo bundle (Laptop + Accessories),"Overheating issues, Low storage space",Sometimes,Storage capacity,64 GB,Mouse,No,User_0129,"External Storage, Laptop Stand, Cooling Pad"
10-03-2026 15:31,18–22,Student,Dell,Studying,Satisfied,Storage,Yes,"Keyboard, Laptop Stand",Combo bundle (Laptop + Accessories),"Battery drains quickly, Low storage space",Sometimes,Graphics performance,64 GB,Mouse,Yes,User_0130,"Laptop Bag, External Storage"
10-03-2026 10:42,Above 40,Other,HP,Studying,Satisfied,RAM,Yes,"Wireless Mouse, Laptop Stand",Combo bundle (Laptop + Accessories),Insufficient RAM,Sometimes,Battery life,64 GB,"Laptop Bag, Mouse, Keyboard, Cooling Pad",Maybe,User_0131,"External Storage, Laptop Stand, Cooling Pad"
10-03-2026 17:01,23–30,Working Professional,Lenovo,Studying,Neutral,Processor,Yes,"Wireless Mouse, External Hard Drive / SSD, Cooling Pad",Discount on accessories,"Overheating issues, Slow performance, Insufficient RAM",Sometimes,Battery life,32 GB,Mouse,No,User_0132,"Wireless Mouse, Laptop Bag, Laptop Stand"
10-03-2026 11:16,18–22,Working Professional,HP,Office Work,Satisfied,RAM,Yes,Cooling Pad,Extended warranty,"Overheating issues, No major issues",Rarely,Battery life,32 GB,"Laptop Bag, Mouse, Cooling Pad",Yes,User_0133,"Wireless Mouse, External Storage"
10-03-2026 16:33,18–22,Student,Dell,Office Work,Satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag, Keyboard, External Hard Drive / SSD",Extended warranty,Low storage space,Never,Processor performance,64 GB,None,Yes,User_0134,"Laptop Bag, Cooling Pad"
10-03-2026 13:08,18–22,Student,Dell,Studying,Satisfied,Processor,Yes,Wireless Mouse,Extended warranty,"Battery drains quickly, Overheating issues, Slow performance",Rarely,RAM capacity,64 GB,Laptop Bag,Maybe,User_0135,"Wireless Mouse, Laptop Bag"
10-03-2026 13:35,18–22,Student,HP,Programming,Satisfied,Processor,Yes,"Laptop Bag, Keyboard",Extended warranty,"Battery drains quickly, No major issues",Sometimes,RAM capacity,32 GB,"Laptop Bag, Mouse",Yes,User_0136,"Wireless Mouse, Laptop Bag, External Storage, Laptop Stand"
10-03-2026 12:41,18–22,Student,HP,Office Work,Satisfied,Processor,Yes,"Laptop Bag, Keyboard",Combo bundle (Laptop + Accessories),Insufficient RAM,Sometimes,Processor performance,32 GB,None,Yes,User_0137,"Laptop Bag, External Storage, Cooling Pad"
10-03-2026 16:17,18–22,Student,Asus,Office Work,Very satisfied,Processor,Yes,"External Hard Drive / SSD, Laptop Stand",Extended warranty,"Battery drains quickly, Low storage space",Never,Battery life,16 GB,External Storage,Yes,User_0138,"Laptop Stand, Cooling Pad"
10-03-2026 13:22,Above 40,Working Professional,HP,Office Work,Satisfied,Graphics,Yes,"Wireless Mouse, Laptop Bag, USB Hub, Cooling Pad",Combo bundle (Laptop + Accessories),No major issues,Never,Processor performance,16 GB,None,Yes,User_0139,"Wireless Mouse, Cooling Pad"
10-03-2026 11:09,23–30,Working Professional,HP,Personal use,Very satisfied,RAM,No,"Wireless Mouse, Laptop Stand",Combo bundle (Laptop + Accessories),Slow performance,Sometimes,Battery life,64 GB,Mouse,Maybe,User_0140,"Wireless Mouse, Laptop Bag, Laptop Stand, Cooling Pad"
10-03-2026 16:54,18–22,Working Professional,Dell,Office Work,Very satisfied,Processor,Yes,"Laptop Bag, Keyboard",Combo bundle (Laptop + Accessories),Slow performance,Rarely,Battery life,16 GB,"Laptop Bag, External Storage",Maybe,User_0141,"Wireless Mouse, Laptop Bag, Laptop Stand, Cooling Pad"
10-03-2026 21:43,18–22,Student,HP,Studying,Satisfied,Graphics,Yes,"Laptop Bag, Keyboard",Combo bundle (Laptop + Accessories),"Battery drains quickly, No major issues, Slow performance, Low storage space, Insufficient RAM",Never,Processor performance,32 GB,"Mouse, Keyboard, Cooling Pad",Maybe,User_0142,"Laptop Bag, Laptop Stand, Cooling Pad"
10-03-2026 18:26,23–30,Other,Lenovo,Multimedia / Entertainment,Neutral,Storage,Yes,"Wireless Mouse, Keyboard",Free accessories,"Battery drains quickly, No major issues, Slow performance",Sometimes,Battery life,64 GB,Laptop Bag,No,User_0143,"Wireless Mouse, Laptop Stand, Cooling Pad"
10-03-2026 09:26,Above 40,Business,HP,Office Work,Very satisfied,RAM,No,"Wireless Mouse, Laptop Bag, Laptop Stand",Extended warranty,Overheating issues,Rarely,Battery life,32 GB,"Laptop Bag, Mouse",Maybe,User_0144,"External Storage, Cooling Pad"
10-03-2026 19:31,18–22,Student,Dell,Office Work,Very satisfied,Graphics,Yes,Laptop Bag,Combo bundle (Laptop + Accessories),Slow performance,Sometimes,Battery life,16 GB,Mouse,Yes,User_0145,"Laptop Bag, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 10:41,18–22,Student,HP,Personal use,Satisfied,Storage,Yes,"Laptop Bag, USB Hub",Combo bundle (Laptop + Accessories),"No major issues, Low storage space",Sometimes,Processor performance,64 GB,"Mouse, Keyboard",Maybe,User_0146,"Wireless Mouse, Laptop Bag, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 12:23,23–30,Working Professional,Asus,Programming,Satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag",Combo bundle (Laptop + Accessories),"Battery drains quickly, No major issues",Never,Battery life,16 GB,"Laptop Bag, Mouse",Yes,User_0147,Laptop Stand
10-03-2026 19:06,23–30,Working Professional,HP,Office Work,Very satisfied,Storage,Yes,"Wireless Mouse, Laptop Bag, External Hard Drive / SSD, USB Hub",Extended warranty,"Battery drains quickly, No major issues",Never,RAM capacity,32 GB,"Laptop Bag, Mouse",Yes,User_0148,"Laptop Bag, Cooling Pad"
10-03-2026 15:32,18–22,Student,HP,Office Work,Very satisfied,Storage,Yes,"Wireless Mouse, External Hard Drive / SSD",Extended warranty,"Battery drains quickly, Slow performance",Very often,Battery life,32 GB,External Storage,Maybe,User_0149,Cooling Pad
10-03-2026 10:26,18–22,Student,HP,Office Work,Neutral,Storage,Yes,"Wireless Mouse, USB Hub, Cooling Pad",Extended warranty,Slow performance,Rarely,Processor performance,8 GB,"Laptop Bag, Mouse",Maybe,User_0150,"Wireless Mouse, Laptop Bag, External Storage, Cooling Pad"
10-03-2026 16:15,Above 40,Working Professional,Lenovo,Studying,Very satisfied,Price,Yes,"Wireless Mouse, External Hard Drive / SSD, Cooling Pad",Free accessories,No major issues,Rarely,Processor performance,32 GB,"Mouse, Keyboard, External Storage, Cooling Pad",Maybe,User_0151,"Laptop Bag, External Storage"
10-03-2026 16:12,18–22,Student,HP,Office Work,Very satisfied,Storage,Yes,"Laptop Bag, Keyboard, External Hard Drive / SSD, Laptop Stand",Free accessories,"Overheating issues, No major issues",Never,RAM capacity,16 GB,Laptop Bag,Yes,User_0152,"Laptop Bag, Laptop Stand"
10-03-2026 18:12,18–22,Student,HP,Studying,Very satisfied,Storage,No,"Wireless Mouse, Keyboard, External Hard Drive / SSD",Combo bundle (Laptop + Accessories),No major issues,Sometimes,Processor performance,16 GB,"Laptop Bag, Keyboard",Maybe,User_0153,"Laptop Bag, Laptop Stand, Cooling Pad"
10-03-2026 11:00,Above 40,Working Professional,HP,Office Work,Very satisfied,RAM,Yes,"Wireless Mouse, Laptop Bag, Keyboard, External Hard Drive / SSD, Laptop Stand",Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues, No major issues, Slow performance",Sometimes,Battery life,64 GB,"Laptop Bag, Mouse",Yes,User_0154,"Laptop Bag, External Storage"
10-03-2026 20:34,18–22,Student,Lenovo,Studying,Very satisfied,Graphics,No,"Wireless Mouse, USB Hub, Cooling Pad",Combo bundle (Laptop + Accessories),"Battery drains quickly, Insufficient RAM",Never,Graphics performance,8 GB,"Mouse, Keyboard",Yes,User_0155,"Wireless Mouse, External Storage, Laptop Stand"
10-03-2026 13:53,18–22,Student,Apple,Studying,Satisfied,RAM,Yes,"Wireless Mouse, Keyboard, Laptop Stand",Extended warranty,"No major issues, Slow performance, Low storage space",Rarely,RAM capacity,32 GB,"Laptop Bag, Mouse, External Storage",No,User_0156,"Wireless Mouse, Laptop Stand"
10-03-2026 16:52,18–22,Student,HP,Studying,Neutral,Price,Yes,"Wireless Mouse, Keyboard, Laptop Stand",Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues",Rarely,RAM capacity,64 GB,Laptop Bag,Maybe,User_0157,"Wireless Mouse, Laptop Stand"
10-03-2026 20:07,18–22,Student,HP,Office Work,Neutral,Storage,Yes,Laptop Stand,Free accessories,Overheating issues,Rarely,Battery life,64 GB,"Laptop Bag, Mouse",Maybe,User_0158,"External Storage, Laptop Stand, Cooling Pad"
10-03-2026 19:08,18–22,Working Professional,HP,Studying,Neutral,RAM,Yes,"Wireless Mouse, Laptop Bag, Cooling Pad",Free accessories,"Battery drains quickly, No major issues",Rarely,Storage capacity,64 GB,"Laptop Bag, Mouse",Maybe,User_0159,"Wireless Mouse, Laptop Bag, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 11:01,Above 40,Student,HP,Personal use,Neutral,Storage,No,"Keyboard, External Hard Drive / SSD",Combo bundle (Laptop + Accessories),"Battery drains quickly, No major issues, Low storage space, Insufficient RAM",Rarely,RAM capacity,64 GB,"Laptop Bag, Keyboard",Yes,User_0160,"Laptop Bag, Laptop Stand"
10-03-2026 20:30,18–22,Student,Lenovo,Studying,Very satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag",Combo bundle (Laptop + Accessories),Overheating issues,Sometimes,RAM capacity,64 GB,Cooling Pad,Yes,User_0161,External Storage
10-03-2026 12:11,Above 40,Student,HP,Studying,Unsatisfied,Graphics,Yes,"Wireless Mouse, Laptop Bag, Keyboard, External Hard Drive / SSD",Extended warranty,"Battery drains quickly, Overheating issues",Sometimes,Processor performance,64 GB,"Laptop Bag, Mouse",Yes,User_0162,"Wireless Mouse, Laptop Bag, External Storage, Laptop Stand"
10-03-2026 09:38,Above 40,Working Professional,Lenovo,Office Work,Neutral,RAM,No,Cooling Pad,Discount on accessories,"Battery drains quickly, No major issues",Sometimes,Battery life,32 GB,"Laptop Bag, Mouse, Keyboard",Maybe,User_0163,"Wireless Mouse, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 21:25,23–30,Working Professional,Dell,Office Work,Satisfied,Price,Yes,"Wireless Mouse, Laptop Bag, Keyboard, USB Hub, Cooling Pad",Extended warranty,"Overheating issues, No major issues, Slow performance",Sometimes,Processor performance,32 GB,"Laptop Bag, Mouse, Keyboard",Maybe,User_0164,"Wireless Mouse, External Storage"
10-03-2026 20:01,18–22,Student,Lenovo,Office Work,Very satisfied,Processor,No,"Wireless Mouse, Laptop Bag, Laptop Stand, Cooling Pad",Combo bundle (Laptop + Accessories),"Battery drains quickly, No major issues",Rarely,RAM capacity,64 GB,None,Yes,User_0165,"External Storage, Laptop Stand, Cooling Pad"
10-03-2026 09:16,Above 40,Working Professional,Dell,Office Work,Very satisfied,Storage,Yes,"Wireless Mouse, Laptop Bag, External Hard Drive / SSD, Laptop Stand, Cooling Pad",Discount on accessories,"Overheating issues, No major issues, Slow performance",Never,Graphics performance,32 GB,"Laptop Bag, Mouse, External Storage, Cooling Pad",Maybe,User_0166,"Wireless Mouse, Laptop Stand"
10-03-2026 16:07,18–22,Student,Lenovo,Studying,Satisfied,Processor,Yes,"Laptop Bag, Keyboard, Laptop Stand",Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues, Slow performance",Sometimes,RAM capacity,16 GB,"Laptop Bag, Mouse",Maybe,User_0167,Laptop Stand
10-03-2026 21:41,Above 40,Working Professional,HP,Studying,Very satisfied,Graphics,Yes,"Wireless Mouse, Laptop Bag, Keyboard, External Hard Drive / SSD",Discount on accessories,"No major issues, Insufficient RAM",Never,Battery life,16 GB,None,No,User_0168,Cooling Pad
10-03-2026 09:39,Above 40,Working Professional,HP,Studying,Very satisfied,Processor,Yes,None,Extended warranty,"Battery drains quickly, Overheating issues, Slow performance",Rarely,Battery life,64 GB,Laptop Bag,Maybe,User_0169,"Wireless Mouse, Laptop Bag, External Storage, Cooling Pad"
10-03-2026 21:00,18–22,Student,HP,Office Work,Very satisfied,RAM,Yes,Keyboard,Combo bundle (Laptop + Accessories),"Battery drains quickly, Insufficient RAM",Rarely,RAM capacity,16 GB,None,No,User_0170,"Wireless Mouse, Laptop Bag, External Storage, Cooling Pad"
10-03-2026 21:54,23–30,Student,HP,Programming,Neutral,Storage,Yes,"Wireless Mouse, Laptop Stand",Combo bundle (Laptop + Accessories),Overheating issues,Never,RAM capacity,32 GB,"Laptop Bag, Mouse",Maybe,User_0171,"Wireless Mouse, External Storage, Laptop Stand"
10-03-2026 16:22,Above 40,Working Professional,Asus,Office Work,Very satisfied,Price,Yes,External Hard Drive / SSD,Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues, No major issues",Rarely,Storage capacity,64 GB,"Mouse, Cooling Pad",Maybe,User_0172,"Wireless Mouse, Laptop Stand"
10-03-2026 14:58,18–22,Student,Dell,Studying,Neutral,Price,Yes,"Laptop Bag, External Hard Drive / SSD, Laptop Stand",Combo bundle (Laptop + Accessories),"Battery drains quickly, No major issues, Slow performance, Low storage space",Rarely,Processor performance,32 GB,Laptop Bag,No,User_0173,"Wireless Mouse, Laptop Stand, Cooling Pad"
10-03-2026 18:10,Above 40,Business,Dell,Personal use,Very satisfied,Graphics,Yes,"Wireless Mouse, Laptop Bag, Keyboard, Cooling Pad",Combo bundle (Laptop + Accessories),Overheating issues,Rarely,Processor performance,64 GB,"Laptop Bag, External Storage",No,User_0174,"Wireless Mouse, Laptop Stand"
10-03-2026 11:41,18–22,Student,Asus,Studying,Neutral,Processor,Yes,External Hard Drive / SSD,Combo bundle (Laptop + Accessories),Insufficient RAM,Sometimes,Storage capacity,64 GB,"Laptop Bag, Mouse, Keyboard",Maybe,User_0175,Wireless Mouse
10-03-2026 09:00,Above 40,Student,Lenovo,Studying,Very satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag, USB Hub",Free accessories,"Battery drains quickly, Overheating issues, No major issues",Rarely,RAM capacity,64 GB,"Laptop Bag, Keyboard, External Storage",Yes,User_0176,"External Storage, Laptop Stand"
10-03-2026 14:09,23–30,Other,Dell,Studying,Very satisfied,Processor,Yes,"Laptop Bag, Keyboard",Combo bundle (Laptop + Accessories),Battery drains quickly,Never,Battery life,64 GB,Laptop Bag,Maybe,User_0177,"Wireless Mouse, Laptop Bag, External Storage, Cooling Pad"
10-03-2026 14:05,18–22,Student,Lenovo,Office Work,Neutral,Processor,Yes,Laptop Stand,Extended warranty,"Battery drains quickly, Slow performance",Never,Battery life,16 GB,"Laptop Bag, Mouse",Maybe,User_0178,"Wireless Mouse, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 18:04,18–22,Student,HP,Office Work,Very satisfied,Processor,Yes,"Keyboard, Laptop Stand, USB Hub",Discount on accessories,"Battery drains quickly, Overheating issues, No major issues",Rarely,Battery life,32 GB,"Laptop Bag, Cooling Pad",Yes,User_0179,"Wireless Mouse, External Storage, Cooling Pad"
10-03-2026 11:00,Above 40,Working Professional,HP,Programming,Satisfied,Storage,Yes,"Wireless Mouse, Laptop Bag",Discount on accessories,"Battery drains quickly, Overheating issues",Sometimes,Battery life,64 GB,"Laptop Bag, Keyboard",Maybe,User_0180,"Wireless Mouse, Laptop Bag, External Storage"
10-03-2026 16:55,18–22,Student,HP,Office Work,Neutral,Processor,Yes,"Laptop Bag, Keyboard",Extended warranty,Battery drains quickly,Sometimes,Processor performance,32 GB,None,Yes,User_0181,"Wireless Mouse, Laptop Bag"
10-03-2026 13:27,18–22,Student,Dell,Studying,Very satisfied,Price,Yes,"Wireless Mouse, Laptop Bag, External Hard Drive / SSD",Combo bundle (Laptop + Accessories),Battery drains quickly,Sometimes,Processor performance,64 GB,Mouse,Yes,User_0182,"Wireless Mouse, Laptop Stand"
10-03-2026 16:20,Above 40,Working Professional,Lenovo,Studying,Satisfied,Processor,Yes,"Laptop Bag, Keyboard",Discount on accessories,"Slow performance, Low storage space",Sometimes,Graphics performance,64 GB,Mouse,Yes,User_0183,"Wireless Mouse, External Storage"
10-03-2026 18:54,23–30,Working Professional,Lenovo,Office Work,Satisfied,Processor,No,Keyboard,Extended warranty,"Battery drains quickly, Slow performance",Sometimes,Processor performance,32 GB,"Mouse, Keyboard",Maybe,User_0184,"Wireless Mouse, Laptop Bag, External Storage, Cooling Pad"
